Stock,NRB Start,Break Date,Duration (wks),Range %,3M %,6M %,12M %,90-95%,95-98%,98-100%
CUB,2014-02-07,2015-02-06,52.0,119.59%,+0.15,-13.46,+3.45,2,2,2
CUB,2014-05-30,2015-05-25,51.4,55.03%,+0.15,-13.46,+3.45,0,0,0
CUB,2015-05-29,2016-05-27,52.0,35.66%,+21.88,+21.22,+67.22,0,0,0
CUB,2015-07-03,2016-06-30,51.9,44.28%,+21.88,+21.22,+67.22,0,0,1
CUB,2015-08-14,2016-08-12,52.0,68.37%,+21.88,+21.22,+67.22,0,0,1
CUB,2015-10-23,2016-10-21,52.0,90.09%,+21.88,+21.22,+67.22,5,0,2
CUB,2016-01-29,2017-01-27,52.0,96.66%,+0.72,+12.55,+16.7,0,0,0
CUB,2016-05-06,2017-05-05,52.0,80.77%,+0.72,+12.55,+16.7,3,0,2
CUB,2016-06-17,2017-06-14,51.7,73.58%,+0.72,+12.55,+16.7,1,1,1
CUB,2017-04-28,2018-04-27,52.0,37.81%,-1.83,+4.1,-37.24,5,2,1
CUB,2017-06-02,2018-05-31,51.9,31.94%,-1.83,+4.1,-37.24,0,0,0
CUB,2017-08-11,2018-08-10,52.0,38.33%,-1.83,+4.1,-37.24,1,1,0
CUB,2018-04-06,2019-04-05,52.0,33.94%,-1.83,+4.1,-37.24,10,1,1
CUB,2018-05-25,2019-05-21,51.6,32.69%,-1.83,+4.1,-37.24,0,0,0
CUB,2018-06-29,2019-06-28,52.0,39.4%,-1.83,+4.1,-37.24,4,0,2
CUB,2018-09-28,2019-09-24,51.6,40.36%,-1.83,+4.1,-37.24,0,0,0
CUB,2018-12-07,2019-12-02,51.4,35.08%,-1.83,+4.1,-37.24,0,0,0
CUB,2019-01-18,2020-01-15,51.7,35.04%,-1.83,+4.1,-37.24,3,0,1
CUB,2021-08-20,2022-08-19,52.0,68.76%,-26.99,-34.54,-18.43,12,4,4
CUB,2021-09-24,2022-09-23,52.0,76.1%,-26.99,-34.54,-18.43,0,0,0
CUB,2021-11-12,2022-11-11,52.0,80.37%,-26.99,-34.54,-18.43,0,0,0
CUB,2021-12-17,2022-12-14,51.7,83.44%,-26.99,-34.54,-18.43,0,0,0
CUB,2023-06-30,2024-06-25,51.6,40.24%,+3.32,-,-,7,1,4
CUB,2023-08-04,2024-08-02,52.0,45.56%,+3.32,-,-,0,0,0
CUB,2023-11-03,2024-10-29,51.6,41.0%,+3.32,-,-,0,0,0
CUB,2023-12-08,2024-12-03,51.6,45.33%,+3.32,-,-,6,1,2
CUB,2024-05-18,2025-05-13,51.4,44.1%,+3.32,-,-,0,0,0
CUB,2024-07-05,2025-06-30,51.4,45.83%,+3.32,-,-,0,0,1
CUB,2024-10-25,2025-10-24,52.0,62.72%,+3.32,-,-,4,0,2
CUB,2024-12-06,2025-12-05,52.0,98.09%,+3.32,-,-,0,0,1
NYKAA,2022-12-09,2023-12-08,52.0,57.29%,-,-,-,0,0,2
NYKAA,2023-01-13,2024-01-09,51.6,60.53%,-,-,-,0,0,0
NYKAA,2023-08-04,2024-07-30,51.6,50.27%,-,-,-,7,1,1
NYKAA,2024-08-30,2025-08-25,51.4,47.93%,-,-,-,1,1,2
NYKAA,2024-10-11,2025-10-06,51.4,60.93%,-,-,-,0,0,1
NYKAA,2024-11-22,2025-11-17,51.4,73.18%,-,-,-,0,0,1
TITAN,2014-01-31,2015-01-28,51.7,109.93%,+1.15,-15.26,-11.13,3,1,2
TITAN,2015-06-26,2016-06-24,52.0,30.06%,+9.66,+66.35,+67.32,12,1,3
TITAN,2015-09-11,2016-09-06,51.6,44.18%,+9.66,+66.35,+67.32,2,1,2
TITAN,2016-02-26,2017-02-21,51.6,50.09%,+9.66,+66.35,+67.32,0,0,0
TITAN,2016-04-08,2017-04-05,51.7,58.91%,+9.66,+66.35,+67.32,0,0,1
TITAN,2016-05-13,2017-05-12,52.0,70.45%,+9.66,+66.35,+67.32,0,0,1
TITAN,2016-08-05,2017-08-04,52.0,92.2%,+9.66,+66.35,+67.32,0,1,1
TITAN,2016-09-09,2017-09-05,51.6,115.53%,+9.66,+66.35,+67.32,0,0,2
TITAN,2016-11-04,2017-11-02,51.9,120.9%,+9.66,+66.35,+67.32,0,0,0
TITAN,2016-12-16,2017-12-15,52.0,173.17%,+9.66,+66.35,+67.32,1,0,1
TITAN,2017-03-31,2018-03-26,51.4,112.93%,+9.66,+66.35,+67.32,0,0,2
TITAN,2018-02-02,2019-02-01,52.0,36.52%,+20.53,-1.52,+14.27,4,0,2
TITAN,2018-03-16,2019-03-12,51.6,47.05%,+20.53,-1.52,+14.27,0,0,1
TITAN,2018-04-27,2019-04-26,52.0,57.31%,+20.53,-1.52,+14.27,0,0,1
TITAN,2018-06-08,2019-06-03,51.4,72.44%,+20.53,-1.52,+14.27,0,0,1
TITAN,2018-09-28,2019-09-27,52.0,83.11%,+20.53,-1.52,+14.27,3,0,4
TITAN,2019-11-22,2020-11-20,52.0,86.02%,+15.11,+50.66,+43.05,0,0,0
TITAN,2019-12-27,2020-12-24,51.9,111.54%,+15.11,+50.66,+43.05,0,0,1
TITAN,2020-06-05,2021-06-03,51.9,80.45%,+15.11,+50.66,+43.05,2,2,2
