Stock,RSC Level,NRB Count,Start Date,End Date,Duration (wks),3M %,6M %,12M %,90-95%,95-98%,98-100%
CUB,0.0055,2,2018-12-21,2019-09-20,39.0,-0.3,-1.56,-20.72,2,0,2
CUB,0.0033,2,2022-08-25,2025-12-01,170.6,-13.06,-35.31,-33.92,2,0,3
CUB,0.0032,2,2015-05-14,2016-05-19,53.0,+3.09,+1.45,+20.93,4,0,2
NYKAA,0.0027,3,2022-12-05,2025-08-25,142.0,-,-,-,17,2,4
TITAN,0.0475,2,2022-02-28,2023-09-06,79.3,-5.06,-21.41,-13.69,6,0,3
TITAN,0.0293,3,2018-03-26,2019-04-30,57.1,-4.48,-8.56,-7.47,4,0,2
TITAN,0.0151,2,2015-01-28,2017-02-21,107.9,+6.89,+48.63,+44.19,10,1,5
FORCEMOT,0.1274,1,2024-04-25,2025-05-12,54.6,+34.27,-,-,8,0,2
CUPID,0.0014,2,2024-05-02,2025-07-11,62.1,+102.76,-,-,3,2,2
CUPID,0.0005,1,2016-11-03,2018-01-11,62.0,-9.93,-33.41,-47.94,3,0,1
CUPID,0.0003,2,2020-01-17,2020-08-03,28.4,+3.15,+14.17,-5.91,3,1,3
DIXON,0.0870,3,2021-03-15,2021-10-11,30.0,+26.01,+48.01,+63.79,3,0,4
DIXON,0.0145,1,2018-09-03,2019-09-23,55.0,+29.06,+92.04,+180.33,1,0,2
LAURUSLABS,0.0084,1,2020-10-07,2021-04-07,26.0,+27.09,-16.56,+9.09,1,0,2
LAURUSLABS,0.0062,2,2022-12-12,2024-11-01,98.6,+3.38,-,-,19,1,6
AMBER,0.1031,1,2024-12-26,2025-09-25,39.0,-,-,-,6,1,2
AMBER,0.0418,1,2022-07-25,2023-08-17,55.4,-0.81,+13.94,+84.88,1,1,2
AMBER,0.0261,1,2018-07-12,2019-12-04,72.9,+57.29,+48.2,+81.17,3,0,2
CUMMINSIND,0.0487,3,2024-07-08,2025-10-27,68.0,-,-,-,6,1,2
CUMMINSIND,0.0353,1,2016-02-25,2017-05-09,62.7,-,-,-,7,0,2
CUMMINSIND,0.0190,2,2021-03-31,2022-07-01,65.3,+7.53,+15.52,+63.73,5,2,1
BAJFINANCE,0.0118,3,2025-02-24,2025-09-12,28.6,+3.89,-,-,0,0,1
BAJFINANCE,0.0116,3,2020-02-04,2021-07-27,77.0,-2.36,-0.84,-3.22,2,2,2
BAJFINANCE,0.0062,1,2017-09-07,2018-05-22,36.7,-8.89,-1.12,+17.56,1,0,2
INDIGO,0.0598,4,2024-05-15,2025-02-24,40.7,+11.48,+18.38,+42.1,7,0,4
INDIGO,0.0407,3,2016-05-06,2018-04-04,99.7,-32.51,-28.04,-25.38,2,1,3
INDIGO,0.0357,1,2022-02-16,2023-05-09,63.9,+11.48,+18.38,+42.1,12,1,4
